#Top: design_1_wrapper   Floorplan: rtl_1   Part: xc7z010clg400-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Generated by: austi   on: Thu Dec 25 12:28:12 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Build: Vivado v2024.2   by: xbuild   on: Fri Nov 08 22:35:27 MST 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Version: FINAL 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Package Pin Delay Version: VERS. 2.0 2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Package Delay,Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,OFFSET_CONTROL,EQUALIZATION,Pull Type,DQS_BIAS,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
502,B2,IOPAD_X1Y64,PS_DDR_DQS_N0_502,100.841,101.855,101.348,,DDR_54576,DDR_dqs_n[0],INOUT,,,DIFF_SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,V3,IOPAD_X1Y63,PS_DDR_DQ31_502,72.21,72.935,72.5725,,DDR_54576,DDR_dq[31],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,V2,IOPAD_X1Y62,PS_DDR_DQ30_502,80.746,81.557,81.1515,,DDR_54576,DDR_dq[30],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,W3,IOPAD_X1Y61,PS_DDR_DQ29_502,72.799,73.531,73.165,,DDR_54576,DDR_dq[29],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,Y2,IOPAD_X1Y60,PS_DDR_DQ28_502,83.196,84.032,83.614,,DDR_54576,DDR_dq[28],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,Y4,IOPAD_X1Y59,PS_DDR_DQ27_502,82.756,83.588,83.172,,DDR_54576,DDR_dq[27],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,W1,IOPAD_X1Y58,PS_DDR_DQ26_502,89.528,90.428,89.978,,DDR_54576,DDR_dq[26],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,Y3,IOPAD_X1Y57,PS_DDR_DQ25_502,86.098,86.963,86.5305,,DDR_54576,DDR_dq[25],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,V1,IOPAD_X1Y56,PS_DDR_DQ24_502,82.582,83.412,82.997,,DDR_54576,DDR_dq[24],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,U3,IOPAD_X1Y55,PS_DDR_DQ23_502,61.027,61.641,61.334,,DDR_54576,DDR_dq[23],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,U2,IOPAD_X1Y54,PS_DDR_DQ22_502,63.075,63.709,63.392,,DDR_54576,DDR_dq[22],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,U4,IOPAD_X1Y53,PS_DDR_DQ21_502,51.867,52.388,52.1275,,DDR_54576,DDR_dq[21],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,T4,IOPAD_X1Y52,PS_DDR_DQ20_502,51.442,51.959,51.7005,,DDR_54576,DDR_dq[20],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,R1,IOPAD_X1Y51,PS_DDR_DQ19_502,65.638,66.298,65.968,,DDR_54576,DDR_dq[19],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,R3,IOPAD_X1Y50,PS_DDR_DQ18_502,50.1,50.603,50.3515,,DDR_54576,DDR_dq[18],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,P3,IOPAD_X1Y49,PS_DDR_DQ17_502,67.544,68.223,67.8835,,DDR_54576,DDR_dq[17],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,P1,IOPAD_X1Y48,PS_DDR_DQ16_502,56.815,57.386,57.1005,,DDR_54576,DDR_dq[16],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,J1,IOPAD_X1Y47,PS_DDR_DQ15_502,61.064,61.678,61.371,,DDR_54576,DDR_dq[15],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,H1,IOPAD_X1Y46,PS_DDR_DQ14_502,66.576,67.245,66.9105,,DDR_54576,DDR_dq[14],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,H2,IOPAD_X1Y45,PS_DDR_DQ13_502,62.455,63.083,62.769,,DDR_54576,DDR_dq[13],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,J3,IOPAD_X1Y44,PS_DDR_DQ12_502,62.32,62.946,62.633,,DDR_54576,DDR_dq[12],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,H3,IOPAD_X1Y43,PS_DDR_DQ11_502,60.391,60.998,60.6945,,DDR_54576,DDR_dq[11],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
502,G3,IOPAD_X1Y42,PS_DDR_DQ10_502,64.333,64.98,64.6565,,DDR_54576,DDR_dq[10],INOUT,,,SSTL15_T_DCI,,FAST,,,,,,,,,,FP_VTT_50,,
